,title,year,abstract,publisher,top_20_words
0,"Metamorphic Testing: A Review of Challenges and Opportunities,","2018,","Metamorphic testing is an approach to both test case generation and test result verification. A central element is a set of metamorphic relations, which are necessary properties of the target function or algorithm in relation to multiple inputs and their expected outputs. Since its first publication, we have witnessed a rapidly increasing body of work examining metamorphic testing from various perspectives, including metamorphic relation identification, test case generation, integration with other software engineering techniques, and the validation and evaluation of software systems. In this article, we review the current research of metamorphic testing and discuss the challenges yet to be addressed. We also present visions for further improvement of metamorphic testing and highlight opportunities for new research.,","Association for Computing Machinery,","metamorphic, relation, visions, witnessed, generation, body, element, research, central, highlight, case, publication, opportunities, examining, improvement, perspectives, rapidly, discuss, addressed, testing"
1,"Fault detection effectiveness of source test case generation strategies for metamorphic testing,","2018,","Metamorphic testing is a well known approach to tackle the oracle problem in software testing. This technique requires the use of source test cases that serve as seeds for the generation of follow-up test cases. Systematic design of test cases is crucial for the test quality. Thus, source test case generation strategy can make a big impact on the fault detection effectiveness of metamorphic testing. Most of the previous studies on metamorphic testing have used either random test data or existing test cases as source test cases. There has been limited research done on systematic source test case generation for metamorphic testing. This paper provides a comprehensive evaluation on the impact of source test case generation techniques on the fault finding effectiveness of metamorphic testing. We evaluated the effectiveness of line coverage, branch coverage, weak mutation and random test generation strategies for source test case generation. The experiments are conducted with 77 methods from 4 open source code repositories. Our results show that by systematically creating source test cases, we can significantly increase the fault finding effectiveness of metamorphic testing. Further, in this paper we introduce a simple metamorphic testing tool called ""METtester"" that we use to conduct metamorphic testing on these methods.,","Association for Computing Machinery,","source, test, generation, cases, case, testing, fault, effectiveness, metamorphic, impact, random, finding, coverage, systematic, mettester, branch, 77, methods, repositories, seeds"
2,"Contextual Understanding and Improvement of Metamorphic Testing in Scientific Software Development,","2021,","Background: Metamorphic testing emerges as a simple and effective approach for testing scientific software; yet, its adoption in actual scientific software projects is less studied.Aims: In order for the practitioners to better adopt metamorphic testing in their projects, we set out to first gain a deep understanding about the current qualify assurance workflow, testing practices, and tools.Method: We propose to integrate various empirical sources, including artifact analysis, stakeholder interviews, and gap analysis from the literature.Results: Applying our approach to the Open Water Analytics Stormwater Management Model project helped to identify four new needs requiring continued and more research: (1) systematic and explicit formulation of metamorphic relations, (2) metamorphic testing examples specific to the scientific software, (3) correlating metamorphic testing with regression testing, and (4) integrating metamorphic testing with build tools like CMake and continuous integration tools like GitHub Actions.Conclusions: Integrating different empirical sources is promising for establishing a contextual understanding of software engineering practices, and for action research, such as workflow refinements and tool interventions, to be carried out in a principled manner.,","Association for Computing Machinery,","scientific, projects, integrating, sources, tools, practices, workflow, testing, understanding, like, metamorphic, software, qualify, refinements, correlating, stormwater, interventions, stakeholder, emerges, cmake"
3,"A cloud-based framework for applying metamorphic testing to a bioinformatics pipeline,","2016,","Testing of bioinformatics software often suffers from the oracle problem, especially when testing software that analyses human genome sequencing data. Metamorphic testing has been proposed to alleviate the oracle problem. Nonetheless, smaller research or clinical centres may be challenged by the complexity and resources required to implement a suitable metamorphic testing framework in practice. This paper presents a case study on how a cloud-based metamorphic testing framework can be applied to a widely used genomic sequencing pipeline, and discusses the future of implementing large-scale on-demand automated metamorphic testing using cloud-based resources.,","Association for Computing Machinery,","sequencing, resources, cloud, testing, challenged, genomic, clinical, nonetheless, framework, genome, centres, discusses, suffers, demand, smaller, analyses, pipeline, metamorphic, implementing, suitable"
4,"Feedback-Directed Metamorphic Testing,","2023,","Over the past decade, metamorphic testing has gained rapidly increasing attention from both academia and industry, particularly thanks to its high efficacy on revealing real-life software faults in a wide variety of application domains. On the basis of a set of metamorphic relations among multiple software inputs and their expected outputs, metamorphic testing not only provides a test case generation strategy by constructing new (or follow-up) test cases from some original (or source) test cases, but also a test result verification mechanism through checking the relationship between the outputs of source and follow-up test cases. Many efforts have been made to further improve the cost-effectiveness of metamorphic testing from different perspectives. Some studies attempted to identify “good” metamorphic relations, while other studies were focused on applying effective test case generation strategies especially for source test cases. In this article, we propose improving the cost-effectiveness of metamorphic testing by leveraging the feedback information obtained in the test execution process. Consequently, we develop a new approach, namely feedback-directed metamorphic testing, which makes use of test execution information to dynamically adjust the selection of metamorphic relations and selection of source test cases. We conduct an empirical study to evaluate the proposed approach based on four laboratory programs, one GNU program, and one industry program. The empirical results show that feedback-directed metamorphic testing can use fewer test cases and take less time than the traditional metamorphic testing for detecting the same number of faults. It is clearly demonstrated that the use of feedback information about test execution does help enhance the cost-effectiveness of metamorphic testing. Our work provides a new perspective to improve the efficacy and applicability of metamorphic testing as well as many other software testing techniques.,","Association for Computing Machinery,","feedback, test, cases, metamorphic, source, cost, testing, efficacy, directed, information, execution, new, use, industry, selection, effectiveness, provides, follow, adjust, gnu"
5,"Metamorphic testing for adobe analytics data collection javascript library,","2018,","In recent years, metamorphic testing has been successfully and systematically adopted within Adobe Systems to improve the cost effectiveness of its software process. In this industry experience report, we present a case where metamorphic testing has been applied to the Data Collection JavaScript Library of Adobe Analytics. This type of software is difficult to test using traditional approaches. The application of metamorphic testing alleviated the oracle problem, and detected real-life bugs in the system under test as well as compatibility problems between the system and its environment, namely, the Internet Explorer browser. Our results further justify the adoption of metamorphic testing as a simple yet effective approach in industrial settings.,","Association for Computing Machinery,","adobe, explorer, javascript, alleviated, compatibility, browser, justify, settings, analytics, internet, metamorphic, collection, library, type, testing, adoption, environment, simple, systematically, experience"
6,"Metamorphic testing for Adobe data analytics software,","2017,","It is challenging to test data analytics software because a test oracle might not be available. This study reports our experience of applying metamorphic testing to Adobe's data analytics software that is used for anomaly detection in a set of time series data. We make use of geometric transformations to build metamorphic relations and generate simple time series data as the source test cases. The results of this study show that metamorphic testing is highly effective for both verification and validation purposes. An investigation of the issues detected during metamorphic testing revealed three bugs in the software under test.,","IEEE Press,","analytics, data, series, time, test, adobe, anomaly, geometric, software, purposes, investigation, metamorphic, study, build, revealed, simple, experience, reports, transformations, make"
7,"Generating source inputs for metamorphic testing using dynamic symbolic execution,","2016,","Metamorphic testing uses domain-specific properties about a program's intended behaviour to alleviate the oracle problem. From a given set of source test inputs, a set of follow-up test inputs are generated which have some relation to the source inputs, and their outputs are compared to outputs from the source tests, using metamorphic relations. We evaluate the use of an automated test input generation technique called dynamic symbolic execution (DSE) to generate the source test inputs for metamorphic testing. We investigate whether DSE increases source-code coverage and fault finding effectiveness of metamorphic testing compared to the use of random testing, and whether the use of metamorphic relations as a supportive technique improves the test inputs generated by DSE. Our results show that DSE improves the coverage and fault detection rate of metamorphic testing compared to random testing using significantly smaller test suites, and the use of metamorphic relations increases code coverage of both DSE and random tests considerably, but the improvement in the fault detection rate may be marginal and depends on the used metamorphic relations.,","Association for Computing Machinery,","dse, source, inputs, random, coverage, compared, use, fault, metamorphic, increases, improves, rate, test, relations, testing, code, tests, supportive, marginal, considerably"
8,"Metamorphic testing: a simple method for alleviating the test oracle problem,","2015,","The test oracle problem is regarded as one of the most challenging problems in software testing. Metamorphic testing has been developed to alleviate this problem, which is done using the relations involving relevant inputs and their outputs. This keynote speech will provide a summary of the state-of-the-art of metamorphic testing.,","IEEE Press,","keynote, regarded, summary, involving, speech, relevant, problem, problems, testing, art, developed, state, alleviate, challenging, provide, outputs, inputs, metamorphic, using, oracle"
9,"MET '22: Proceedings of the 7th International Workshop on Metamorphic Testing,","2022,","MET series has provided a good forum for discussing novel ideas, new perspectives, new applications, and the state of research, related to or inspired by Metamorphic Testing. This workshop aims to bring together researchers and practitioners in both academia and industry to discuss their research results, experiences and insights into Metamorphic Testing. In this year, we are facing the similar situation of the pandemic as the previous MET in 2020 and 2021, and hence we will run this workshop virtually again.,","Association for Computing Machinery,","workshop, met, discussing, 2020, virtually, year, pandemic, 2021, forum, new, experiences, research, run, academia, facing, bring, ideas, situation, perspectives, good"
10,"An Experimental Study on Applying Metamorphic Testing in Machine Learning Applications,","2020,","Machine learning techniques have been successfully employed in various areas and, in particular, for the development of healthcare applications, aiming to support in more effective and faster diagnostics (such as cancer diagnosis). However, machine learning models may present uncertainties and errors. Errors in the training process, classification, and evaluation can generate incorrect results and, consequently, to wrong clinical decisions, reducing the professionals' confidence in the use of such techniques. Similar to other application domains, the quality should be guaranteed to produce more reliable models capable of assisting health professionals in their daily activities. Metamorphic testing can be an interesting option to validate machine learning applications. Using this testing approach is possible to define relationships that define changes to be made in the application's input data to identify faults. This paper presents an experimental study to evaluate the effectiveness of metamorphic testing to validate machine learning applications. A Machine learning application to verify breast cancer diagnostic was developed, using an available dataset composed of 569 samples whose data were taken from breast cancer images, and used as the software under test, in which the metamorphic testing was applied. The results indicate that metamorphic testing can be an alternative to support the validation of machine learning applications.,","Association for Computing Machinery,","cancer, machine, learning, breast, professionals, applications, application, define, support, validate, errors, guaranteed, 569, option, diagnostics, assisting, clinical, faster, diagnostic, composed"
11,"A template-based approach to describing metamorphic relations,","2017,","Metamorphic testing enables the generation of test cases in the absence of an oracle by exploiting relations among different executions of the program under test, called metamorphic relations. In a recent survey, we observed a great variability in the way metamorphic relations are described, typically in an informal manner using natural language. We noticed that the lack of a standard mechanism to describe metamorphic relations often makes them hard to read and understand, which hinders the widespread adoption of the technique. In this paper, we propose a template---based approach for the description of metamorphic relations. The proposed template aims to ease communication among practitioners as well as to contribute to research dissemination. Also, it provides a helpful guide for those approaching metamorphic testing for the first time. For the validation of the approach, we used the proposed template to describe 17 previously published metamorphic relations from different domains and groups of authors, without finding expressiveness problems. We hope that this work eases the diffusion and adoption of metamorphic testing, contributing to the progress of this thriving testing technique.,","IEEE Press,","template, relations, metamorphic, adoption, informal, read, eases, ease, approaching, expressiveness, diffusion, dissemination, thriving, noticed, contributing, variability, hope, hinders, proposed, technique"
12,"Metamorphic testing of driverless cars,","2019,","Metamorphic testing can test untestable software, detecting fatal errors in autonomous vehicles' onboard computer systems.,","Association for Computing Machinery,","onboard, untestable, fatal, vehicles, computer, detecting, errors, autonomous, systems, software, test, metamorphic, testing, patches, patented, paths, patch, past, password, passing"
13,"Assessing robustness of ML-based program analysis tools using metamorphic program transformations,","2022,","Metamorphic testing is a well-established testing technique that has been successfully applied in various domains, including testing deep learning models to assess their robustness against data noise or malicious input. Currently, metamorphic testing approaches for machine learning (ML) models focused on image processing and object recognition tasks. Hence, these approaches cannot be applied to ML targeting program analysis tasks. In this paper, we extend metamorphic testing approaches for ML models targeting software programs. We present Lampion, a novel testing framework that applies (semantics preserving) meta-morphic transformations on the test datasets. Lampion produces new code snippets equivalent to the original test set but different in their identifiers or syntactic structure. We evaluate Lampion against CodeBERT, a state-of-the-art ML model for Code-To-Text tasks that creates Javadoc summaries for given Java methods. Our results show that simple transformations significantly impact the target model behavior, providing additional information on the models reasoning apart from the classic performance metric.,","IEEE Press,","lampion, ml, tasks, models, targeting, approaches, transformations, testing, code, identifiers, snippets, javadoc, codebert, syntactic, summaries, apart, classic, creates, morphic, applied"
14,"A Dynamic Identification Method of Metamorphic Relation Based on Separation of Input Pattern and Output Pattern,","2022,","Due to the high cost and extended period of the benchmark development, there are few verification examples for verifying nuclear power independence software. This case is named the test oracle problem. As a result, it is a challenge to adequate verification. Because metamorphic testing is no need to construct verification examples, it is critical to alleviating the above problem. Some domestic independent nuclear design software has successfully applied metamorphic testing in the verification activities. Since Oracle problem has become a common challenge in software verification in nuclear power field, metamorphic testing has broad application prospects. Aiming at great arbitrariness and low efficiency of existing methods, we introduce a dynamic identification method based on the separation of input and output patterns. In this paper, this method is applied to the burnup program (namely NUIT) to determine a set of metamorphic relations between burnup depth and nuclide density. Other burnup programs can directly apply them and learn from this example. And this method can be extended and used in the different professional nuclear fields, such as reactor physics, thermal hydraulics, source term, and radiation shielding.,","Association for Computing Machinery,","nuclear, burnup, verification, power, examples, extended, method, challenge, shielding, domestic, arbitrariness, independence, prospects, reactor, thermal, radiation, hydraulics, period, problem, nuit"
15,"Testing web enabled simulation at scale using metamorphic testing,","2021,","We report on Facebook's deployment of MIA (Metamorphic Interaction Automaton). MIA is used to test Facebook's Web Enabled Simulation, built on a web infrastructure of hundreds of millions of lines of code. MIA tackles the twin problems of test flakiness and the unknowable oracle problem. It uses metamorphic testing to automate continuous integration and regression test execution. MIA also plays the role of a test bot, automatically commenting on all relevant changes submitted for code review. It currently uses a suite of over 40 metamorphic test cases. Even at this extreme scale, a non-trivial metamorphic test suite subset yields outcomes within 20 minutes (sufficient for continuous integration and review processes). Furthermore, our offline mode simulation reduces test flakiness from approximately 50% (of all online tests) to 0% (offline). Metamorphic testing has been widely-studied for 22 years. This paper is the first reported deployment into an industrial continuous integration system.,","IEEE Press,","mia, continuous, flakiness, offline, integration, deployment, facebook, test, suite, web, review, simulation, uses, code, automaton, minutes, unknowable, bot, twin, mode"
